iso_code,continent,Country,date,Cases,Deaths,Population,Density,GDP,HDI,Score
LSO,Africa,Lesotho,2020-08-31,506.476,14.470999999999998,2142252.0,73.562,2851.153,0.527,41.0
LBR,Africa,Liberia,2020-08-31,257.82599999999996,16.213,5057677.0,49.126999999999995,752.788,0.48,28.0
LBY,Africa,Libya,2020-08-31,2032.516,34.491,6871287.0,3.623,17881.509,0.7240000000000001,17.0
LTU,Europe,Lithuania,2020-08-31,1065.279,25.346,2722291.0,45.135,29524.265,0.882,60.0
LUX,Europe,Luxembourg,2020-08-31,10583.473,198.09099999999998,625976.0,231.447,94277.965,0.9159999999999999,80.0
MDG,Africa,Madagascar,2020-08-31,536.744,6.934,27691019.0,43.951,1416.44,0.528,25.0
MWI,Africa,Malawi,2020-08-31,290.957,9.148,19129955.0,197.519,1095.042,0.483,30.0
MYS,Asia,Malaysia,2020-08-31,288.574,3.924,32365998.0,96.25399999999999,26808.164,0.81,51.0
MDV,Asia,Maldives,2020-08-31,14437.361,51.8,540542.0,1454.433,15183.616000000002,0.74,43.0
MLI,Africa,Mali,2020-08-31,137.08100000000002,6.222,20250834.0,15.196,2014.306,0.434,30.0
MLT,Europe,Malta,2020-08-31,4264.629,27.178,441539.0,1454.037,36513.323,0.895,53.0
MRT,Africa,Mauritania,2020-08-31,1515.81,34.196,4649660.0,4.289,3597.633,0.546,29.0
MUS,Africa,Mauritius,2020-08-31,279.925,7.8629999999999995,1271767.0,622.962,20292.745,0.804,53.0
MEX,North America,Mexico,2020-08-31,4650.1759999999995,499.594,128932753.0,66.444,17336.468999999997,0.779,31.0
MDA,Europe,Moldova,2020-08-31,9152.29,246.65599999999998,4033963.0,123.655,5189.972,0.75,34.0
MNE,Europe,Montenegro,2020-08-31,7698.285,159.22,628062.0,46.28,16409.288,0.8290000000000001,45.0
MAR,Africa,Morocco,2020-08-31,1695.721,30.913,36910558.0,80.08,7485.013000000001,0.6859999999999999,40.0
MOZ,Africa,Mozambique,2020-08-31,125.29,0.736,31255435.0,37.728,1136.103,0.456,25.0
MMR,Asia,Myanmar,2020-08-31,16.21,0.11,54409794.0,81.721,5591.597,0.583,28.0
NAM,Africa,Namibia,2020-08-31,2971.369,29.517,2540916.0,3.0780000000000003,9541.808,0.6459999999999999,51.0
NPL,Asia,Nepal,2020-08-31,1354.3010000000002,7.825,29136808.0,204.43,2442.804,0.602,33.0
NLD,Europe,Netherlands,2020-08-31,4273.857,364.87,17134873.0,508.54400000000004,48472.545,0.9440000000000001,82.0
NZL,Oceania,New Zealand,2020-08-31,363.31699999999995,4.562,4822233.0,18.206,36085.843,0.9309999999999999,88.0
NIC,North America,Nicaragua,2020-08-31,678.385,20.680999999999997,6624554.0,51.667,5321.444,0.66,22.0
NER,Africa,Niger,2020-08-31,48.582,2.85,24206636.0,16.955,926.0,0.39399999999999996,32.0
NGA,Africa,Nigeria,2020-08-31,261.997,4.914,206139587.0,209.588,5338.454000000001,0.539,25.0
MKD,Europe,North Macedonia,2020-08-31,6883.526,289.434,2083380.0,82.6,13111.214,0.774,35.0
NOR,Europe,Norway,2020-08-31,1988.8429999999998,48.696999999999996,5421242.0,14.462,64800.057,0.9570000000000001,84.0
OMN,Asia,Oman,2020-08-31,16786.439,134.14,5106622.0,14.98,37960.709,0.813,54.0
PAK,Asia,Pakistan,2020-08-31,1339.336,28.494,220892331.0,255.57299999999998,5034.708,0.557,31.0
PAN,North America,Panama,2020-08-31,21549.71,463.98800000000006,4314768.0,55.133,22267.037,0.815,35.0
PNG,Oceania,Papua New Guinea,2020-08-31,51.302,0.5589999999999999,8947027.0,18.22,3823.1940000000004,0.555,27.0
PRY,South America,Paraguay,2020-08-31,2476.26,45.706,7132530.0,17.144000000000002,8827.01,0.728,28.0
PER,South America,Peru,2020-08-31,19627.836,873.1089999999999,32971846.0,25.129,12236.706,0.777,38.0
PHL,Asia,Philippines,2020-08-31,2015.12,32.469,109581085.0,351.87300000000005,7599.188,0.718,34.0
POL,Europe,Poland,2020-08-31,1780.1329999999998,53.875,37846605.0,124.027,27216.445,0.88,56.0
PRT,Europe,Portugal,2020-08-31,5689.2880000000005,178.685,10196707.0,112.37100000000001,27936.896,0.8640000000000001,61.0
QAT,Asia,Qatar,2020-08-31,41227.187000000005,68.378,2881060.0,227.322,116935.6,0.848,63.0
ROU,Europe,Romania,2020-08-31,4550.444,188.22400000000002,19237682.0,85.12899999999999,23313.199,0.828,44.0
RUS,Europe,Russia,2020-08-31,6800.326999999999,117.368,145934460.0,8.823,24765.953999999998,0.8240000000000001,30.0
RWA,Africa,Rwanda,2020-08-31,313.692,1.235,12952209.0,494.869,1854.211,0.5429999999999999,54.0
STP,Africa,Sao Tome and Principe,2020-08-31,4088.3190000000004,68.443,219161.0,212.84099999999998,3052.7140000000004,0.625,47.0
SAU,Asia,Saudi Arabia,2020-08-31,9070.294,111.93799999999999,34813867.0,15.322000000000001,49045.41099999999,0.8540000000000001,53.0
SEN,Africa,Senegal,2020-08-31,812.8919999999999,16.961,16743930.0,82.32799999999999,2470.58,0.512,45.0
SRB,Europe,Serbia,2020-08-31,4615.41,104.78200000000001,6804596.0,80.291,14048.881000000001,0.8059999999999999,38.0
SLE,Africa,Sierra Leone,2020-08-31,253.479,8.775,7976985.0,104.7,1390.3,0.452,33.0
SGP,Asia,Singapore,2020-08-31,9710.884,4.615,5850343.0,7915.731,85535.383,0.938,85.0
SVK,Europe,Slovakia,2020-08-31,717.446,6.044,5459643.0,113.12799999999999,30155.152000000002,0.86,49.0
SVN,Europe,Slovenia,2020-08-31,1386.77,63.975,2078932.0,102.619,31400.84,0.917,60.0
ZAF,Africa,South Africa,2020-08-31,10572.498,238.565,59308690.0,46.754,12294.876,0.7090000000000001,44.0
KOR,Asia,South Korea,2020-08-31,393.648,6.32,51269183.0,527.967,35938.373999999996,0.9159999999999999,61.0
ESP,Europe,Spain,2020-08-31,9899.693000000001,622.268,46754783.0,93.105,34272.36,0.904,62.0
LKA,Asia,Sri Lanka,2020-08-31,142.388,0.56,21413250.0,341.955,11669.077,0.782,38.0
SDN,Africa,Sudan,2020-08-31,300.78,18.769000000000002,43849269.0,23.258000000000003,4466.5070000000005,0.51,16.0
SUR,South America,Suriname,2020-08-31,6876.519,121.029,586634.0,3.612,13767.118999999999,0.738,38.0
SWE,Europe,Sweden,2020-08-31,8354.96,576.378,10099270.0,24.718000000000004,46949.282999999996,0.945,85.0
CHE,Europe,Switzerland,2020-08-31,4873.352,231.78400000000002,8654618.0,214.243,57410.166,0.955,85.0
TJK,Asia,Tajikistan,2020-08-31,899.908,7.13,9537642.0,64.281,2896.913,0.6679999999999999,25.0
TZA,Africa,Tanzania,2020-08-31,8.521,0.35200000000000004,59734213.0,64.699,2683.304,0.529,38.0
THA,Asia,Thailand,2020-08-31,48.883,0.831,69799978.0,135.132,16277.671,0.777,36.0
TGO,Africa,Togo,2020-08-31,169.108,3.3819999999999997,8278737.0,143.366,1429.8129999999999,0.515,29.0
TTO,North America,Trinidad and Tobago,2020-08-31,1256.886,15.72,1399491.0,266.88599999999997,28763.071,0.7959999999999999,40.0
TUN,Africa,Tunisia,2020-08-31,321.78,6.515,11818618.0,74.22800000000001,10849.296999999999,0.74,44.0
TUR,Asia,Turkey,2020-08-31,3202.94,75.528,84339067.0,104.914,25129.341,0.82,40.0
UGA,Africa,Uganda,2020-08-31,64.975,0.7,45741000.0,213.75900000000001,1697.707,0.544,27.0
UKR,Europe,Ukraine,2020-08-31,2838.357,59.565,43733759.0,77.39,7894.393,0.779,33.0
ARE,Asia,United Arab Emirates,2020-08-31,7100.9259999999995,38.826,9890400.0,112.44200000000001,67293.483,0.89,71.0
GBR,Europe,United Kingdom,2020-08-31,4980.157999999999,612.63,67886004.0,272.89799999999997,39753.244,0.932,77.0
USA,North America,United States,2020-08-31,18207.996,555.3009999999999,331002647.0,35.608000000000004,54225.445999999996,0.9259999999999999,67.0
URY,South America,Uruguay,2020-08-31,459.161,12.667,3473727.0,19.750999999999998,20551.409,0.8170000000000001,71.0
UZB,Asia,Uzbekistan,2020-08-31,1251.688,9.561,33469199.0,76.134,6253.104,0.72,26.0
VEN,South America,Venezuela,2020-08-31,1643.2720000000002,13.574000000000002,28435943.0,36.253,16745.022,0.711,15.0
VNM,Asia,Vietnam,2020-08-31,10.725,0.349,97338583.0,308.127,6171.884,0.7040000000000001,36.0
YEM,Asia,Yemen,2020-08-31,65.64699999999999,18.977,29825968.0,53.508,1479.1470000000002,0.47,15.0
ZMB,Africa,Zambia,2020-08-31,658.0189999999999,15.665999999999999,18383956.0,22.995,3689.2509999999997,0.584,33.0
ZWE,Africa,Zimbabwe,2020-08-31,437.12800000000004,13.591,14862927.0,42.729,1899.775,0.5710000000000001,24.0
