iso_code,continent,Country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,Cases,new_cases_per_million,new_cases_smoothed_per_million,Deaths,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,Population,Density,GDP,HDI,Score,Region
,,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,
,,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,
,,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,
,,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,
,,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,
,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,
,,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,
,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,
,,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,
,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,
,,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,
,,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,
,,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,
,,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,
,,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,
,,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,
,,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,
,,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,
,,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,
,,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,
,,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,
,,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,
,,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,
,,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,
,,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,
,,Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,
,,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,
,,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,
,,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,
,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,
,,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,
,,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,
,,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,
,,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,
,,Guinea Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,
,,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,
,,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,
,,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,
,,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,
,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,
,,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,
,,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,
,,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,
,,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,
,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,
,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,
,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,
,,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,
