,iso_code,continent,Country,date,Cases,Deaths,Vaxxed,GDP,HDI,Score,Rank
127,ROU,Europe,Romania,2021-04-27,54556.417,1438.999,,23313.199,0.828,44.0,69.0
128,RUS,Europe,Russia,2021-04-27,32379.275,734.35,4.77,24765.953999999998,0.8240000000000001,30.0,129.0
129,RWA,Africa,Rwanda,2021-04-27,1915.8120000000001,25.555,,1854.211,0.5429999999999999,54.0,49.0
130,LCA,North America,Saint Lucia,2021-04-27,24549.499,402.986,,12951.839,0.759,56.0,45.0
131,VCT,North America,Saint Vincent and the Grenadines,2021-04-27,16620.549,99.146,,10727.146,0.738,59.0,40.0
132,STP,Africa,Sao Tome and Principe,2021-04-27,10490.005,159.7,,3052.7140000000004,0.625,47.0,63.0
133,SAU,Asia,Saudi Arabia,2021-04-27,11898.104,198.829,,49045.41099999999,0.8540000000000001,53.0,52.0
134,SEN,Africa,Senegal,2021-04-27,2400.452,66.054,,2470.58,0.512,45.0,67.0
135,SRB,Europe,Serbia,2021-04-27,100490.757,923.7869999999999,,14048.881000000001,0.8059999999999999,38.0,94.0
136,SYC,Africa,Seychelles,2021-04-27,54443.767,264.389,,26382.287,0.7959999999999999,66.0,27.0
137,SLE,Africa,Sierra Leone,2021-04-27,507.209,9.902999999999999,,1390.3,0.452,33.0,117.0
138,SGP,Asia,Singapore,2021-04-27,10437.508,5.127999999999999,,85535.383,0.938,85.0,3.0
139,SVK,Europe,Slovakia,2021-04-27,69692.835,2119.553,8.25,30155.152000000002,0.86,49.0,60.0
140,SVN,Europe,Slovenia,2021-04-27,114492.92199999999,2030.369,8.45,31400.84,0.917,60.0,35.0
141,SLB,Oceania,Solomon Islands,2021-04-27,29.116999999999997,,,2205.923,0.5670000000000001,42.0,78.0
142,SOM,Africa,Somalia,2021-04-27,875.5310000000001,44.861999999999995,,,,12.0,179.0
143,ZAF,Africa,South Africa,2021-04-27,26593.068,914.487,,12294.876,0.7090000000000001,44.0,69.0
144,KOR,Asia,South Korea,2021-04-27,2353.714,35.518,0.29,35938.373999999996,0.9159999999999999,61.0,33.0
145,SSD,Africa,South Sudan,2021-04-27,942.76,10.184,,1569.888,0.433,12.0,179.0
146,ESP,Europe,Spain,2021-04-27,74775.965,1665.1770000000001,,34272.36,0.904,62.0,32.0
